generation,mean_fitness
0,37.61
1,43.58
2,47.57
3,50.99
4,55.96
5,59.92
6,62.56
7,67.71
8,73.06
9,78.7
10,83.75
11,88.81
12,94.33
13,99.89
14,103.46
15,104.76
16,106.22
17,108.34
18,111.16
19,114.81
20,116.22
21,118.26
22,118.63
23,120.19
24,120.7
25,122.38
26,123.71
27,127.12
28,127.35
29,128.59
30,129.24
31,130.63
32,132.2
33,137.94
34,139.45
35,142.32
36,142.48
37,143.41
38,144.52
39,145.3
40,145.81
41,150.23
42,150.92
43,153.44
44,154.51
45,156.79
46,156.79
47,162.58
48,163.75
49,166.16
50,167.32
51,172.54
52,172.61
53,174.02
54,174.1
55,188.4
56,193.23
57,195.08
58,199.9
59,201.54
60,202.57
61,203.62
62,205.55
63,209.79
64,213.61
65,217.69
66,217.69
67,217.99
68,226.29
69,229.05
70,233.09
71,233.12
72,233.75
73,241.71
74,244.74
75,248.8
76,248.8
77,248.8
78,248.84
79,248.93
80,251.68
81,256.47
82,258.57
83,259.98
84,261.64
85,264.57
86,267.06
87,268.92
88,270.86
89,273.73
90,275.87
91,275.9
92,278.74
93,278.74
94,278.93
95,279.17
96,283.17
97,284.87
98,288.52
99,290.76
